Date,Week 0,Week 1,Week 2,Week 3,Week 4,Week 5
8 Feb - 14 Feb,0,0,0,0,0,0
15 Feb - 21 Feb,0,0,0,0,0,-1
22 Feb - 28 Feb,473,29,15,12,-1,-1
1 Mar - 7 Mar,142,6,5,-1,-1,-1
8 Mar - 14 Mar,1231,65,-1,-1,-1,-1
15 Mar - 21 Mar,123,-1,-1,-1,-1,-1
