Nth day,30 days,7 days,1 day
0,0,0,0
1,108,108,108
2,198,198,103
3,373,373,182
4,426,426,67
5,475,475,63
6,502,502,36
7,547,547,58
8,561,475,23
9,569,394,17
10,583,243,24
11,594,199,15
12,620,174,30
13,637,164,23
14,650,127,19
15,663,125,16
16,692,144,33
17,1468,905,793
18,1829,1254,543
19,1857,1258,102
20,1870,1251,43
21,1937,1309,97
22,1961,1319,39
23,1971,1311,24
24,1977,738,18
25,1981,279,13
26,1982,207,10
27,1996,191,18
