Country ID,Active users
AE,3
AU,7
CA,21
CN,8
DE,4
ES,1
FR,5
GB,7
ID,7
IE,21
IN,2
IR,1
IT,1
JP,2
MQ,2
NG,1749
NL,25
NO,6
RO,1
SE,10
SG,24
US,110
